index,weights
Aeci Ltd,0.04934895009465607
British American Tobacco PLC (SA),0.04779054090761597
Cie Financiere Richemont (SA),0.03435506152129339
Capital & Counties Properties PLC (SA),0.034099073293275016
Fortress REIT Limited - A,0.03388593713273154
Astral Foods Ltd,0.02557522545523358
Sun International Ltd,0.023028810656405815
JSE Ltd,0.02253151057187735
Reunert Ltd,0.022153940247590733
Tongaat Hulett Ltd,0.021038384947679845
Nampak Ltd,0.02077709815442814
Super Group Ltd (SA),0.0206270820264049
PPC Ltd,0.019431586056670367
Murray & Roberts Holdings Ltd,0.01858738775698946
Netcare Ltd,0.01849180042310529
Resilient Property Income Fund Ltd,0.018305976903014404
NEPI Rockcastle PLC,0.018232168076264658
Brait SE (SA),0.018116328731708518
Growthpoint Properties Ltd,0.017876646789376376
AVI Ltd,0.01769176415320951
Tiger Brands Ltd,0.017269186725106554
Hyprop Investments Ltd,0.01719706950930753
Transaction Capital Limited,0.017193964702134103
Vodacom Group Ltd,0.0164494130372747
Vukile Property Fund Limited,0.016180947527992998
Remgro Ltd,0.015765339842018746
Sanlam Ltd,0.014687127951953047
Aspen Pharmacare Holdings Ltd,0.014497209110047172
Adcock Ingram Holdings Ltd,0.014232197698066038
Clicks Group Ltd,0.014101281818731923
FirstRand Ltd,0.013902805295309063
Barloworld Ltd,0.013730055227498473
Spar Group Ltd,0.013273390652422697
Discovery Ltd,0.013171856245969865
Bidvest Group Ltd,0.013049650087770707
Coronation Fund Managers Ltd,0.013020702691990214
Naspers Ltd,0.01193038741464978
Mr Price Group Ltd,0.011634625605272595
Pick n Pay Stores Ltd,0.01116260472553159
Steinhoff International Holdings N.V.,0.010841615172223042
African Rainbow Minerals Ltd,0.010689265518357156
Investec Ltd,0.010453204483604133
Redefine Properties Ltd,0.010241746546923426
Exxaro Resources Ltd,0.01005797785758813
Kumba Iron Ore Ltd,0.010045462063649748
Telkom SA SOC Ltd,0.009900157202420677
Standard Bank Group Ltd,0.009813805240885997
Massmart Holdings Ltd,0.009741109599057883
Shoprite Holdings Ltd,0.009722272205879672
Anglo American Platinum Ltd,0.009377575173490074
BHP Group PLC (SA),0.009208238654228675
ArcelorMittal South Africa Ltd,0.008799517090072654
Woolworths Holdings Ltd,0.008796041762586426
Harmony Gold Mining Co Ltd,0.008774750524288201
MTN Group Ltd,0.008180784366220545
Fortress REIT Limited - B,0.00792722762882934
Royal Bafokeng Platinum Limited,0.00783054719495149
AngloGold Ashanti Ltd (SA),0.007591024653016334
Truworths International Ltd,0.007123309055476425
Anglo American PLC (SA),0.006983873723667519
Sappi Ltd,0.00624653948152279
Gold Fields Ltd,0.005915771551930063
Absa Group Limited,0.005487632000480569
Nedbank Group Ltd,0.005378426271412719
Sasol Ltd,0.005285199026449668
Impala Platinum Holdings Ltd,0.005191836182207947
